,reg,libelle,cl_age90,rea_f,rea_h,rea,pct_h,pct_f,incid_rea,population,inc_h,inc_f,benef_h,benef_f
112,52,Pays de la Loire,19,1350,3203,5,0.0,0.0,386,501772,0.04,0.0,0.1216,0.0
113,52,Pays de la Loire,29,1350,3203,21,0.0,0.0,386,405814,0.14,0.05,0.42560000000000003,0.15200000000000002
114,52,Pays de la Loire,39,1350,3203,80,0.01,0.0,386,453828,0.51,0.21,1.5504,0.6384
115,52,Pays de la Loire,49,1350,3203,335,0.05,0.02,386,491690,2.04,0.86,6.2016,2.6144
116,52,Pays de la Loire,59,1350,3203,975,0.15,0.06,386,488378,5.97,2.49,18.148799999999998,7.5696
117,52,Pays de la Loire,69,1350,3203,1568,0.24,0.1,386,464006,10.07,4.24,30.6128,12.889600000000002
118,52,Pays de la Loire,79,1350,3203,1244,0.19,0.08,386,346179,10.7,4.52,32.528,13.740799999999998
119,52,Pays de la Loire,89,1350,3203,217,0.03,0.01,386,194359,3.38,1.39,10.2752,4.2256
120,52,Pays de la Loire,90,1350,3203,15,0.0,0.0,386,58868,0.66,0.33,2.0064,1.0032
121,53,Bretagne,0,1098,2643,3776,0.7,0.3,230,3371158,2.39,1.02,7.2656,3.1008
122,53,Bretagne,9,1098,2643,1,0.0,0.0,230,352543,0.0,0.0,0.0,0.0
123,53,Bretagne,19,1098,2643,5,0.0,0.0,230,421132,0.03,0.0,0.0912,0.0
124,53,Bretagne,29,1098,2643,32,0.01,0.0,230,338936,0.2,0.1,0.6080000000000001,0.30400000000000005
125,53,Bretagne,39,1098,2643,25,0.0,0.0,230,376667,0.15,0.06,0.45599999999999996,0.1824
126,53,Bretagne,49,1098,2643,289,0.05,0.02,230,424842,1.46,0.62,4.4384,1.8848
127,53,Bretagne,59,1098,2643,659,0.12,0.05,230,447793,3.13,1.34,9.5152,4.0736
128,53,Bretagne,69,1098,2643,1442,0.27,0.12,230,440860,6.96,3.0,21.1584,9.120000000000001
129,53,Bretagne,79,1098,2643,1213,0.22,0.1,230,329833,7.84,3.35,23.8336,10.184000000000001
130,53,Bretagne,89,1098,2643,75,0.01,0.01,230,186810,0.86,0.37,2.6144,1.1248
131,53,Bretagne,90,1098,2643,0,0.0,0.0,230,51742,0.0,0.0,0.0,0.0
132,75,Nouvelle-Aquitaine,0,2649,5620,8332,0.68,0.32,605,6039092,3.38,1.63,10.2752,4.9552
133,75,Nouvelle-Aquitaine,9,2649,5620,7,0.0,0.0,605,594782,0.05,0.0,0.15200000000000002,0.0
134,75,Nouvelle-Aquitaine,19,2649,5620,32,0.0,0.0,605,699645,0.13,0.04,0.3952,0.1216
135,75,Nouvelle-Aquitaine,29,2649,5620,91,0.01,0.0,605,599682,0.35,0.2,1.0639999999999998,0.6080000000000001
136,75,Nouvelle-Aquitaine,39,2649,5620,230,0.02,0.01,605,678150,0.85,0.4,2.584,1.2160000000000002
137,75,Nouvelle-Aquitaine,49,2649,5620,649,0.05,0.02,605,756728,2.12,1.0,6.444800000000001,3.04
138,75,Nouvelle-Aquitaine,59,2649,5620,1421,0.12,0.06,605,809301,4.3,2.09,13.072,6.353599999999999
139,75,Nouvelle-Aquitaine,69,2649,5620,2895,0.23,0.11,605,809054,8.75,4.22,26.6,12.8288
140,75,Nouvelle-Aquitaine,79,2649,5620,2409,0.2,0.09,605,634785,9.29,4.48,28.2416,13.619200000000001
141,75,Nouvelle-Aquitaine,89,2649,5620,504,0.04,0.02,605,348951,3.55,1.73,10.792,5.2592
142,75,Nouvelle-Aquitaine,90,2649,5620,33,0.0,0.0,605,108014,0.84,0.28,2.5536,0.8512000000000001
143,76,Occitanie,0,4026,8085,12206,0.66,0.34,869,5985697,4.81,2.45,14.622399999999999,7.448
144,76,Occitanie,9,4026,8085,0,0.0,0.0,869,623994,0.0,0.0,0.0,0.0
145,76,Occitanie,19,4026,8085,3,0.0,0.0,869,708176,0.0,0.0,0.0,0.0
146,76,Occitanie,29,4026,8085,88,0.0,0.0,869,643744,0.34,0.13,1.0336,0.3952
147,76,Occitanie,39,4026,8085,422,0.02,0.01,869,694333,1.44,0.75,4.3776,2.2800000000000002
148,76,Occitanie,49,4026,8085,740,0.04,0.02,869,742917,2.34,1.17,7.1136,3.5568
149,76,Occitanie,59,4026,8085,2048,0.11,0.06,869,793469,6.08,3.12,18.4832,9.4848
150,76,Occitanie,69,4026,8085,3777,0.2,0.1,869,757521,11.76,5.97,35.7504,18.148799999999998
151,76,Occitanie,79,4026,8085,4207,0.23,0.12,869,603091,16.43,8.36,49.9472,25.414399999999997
152,76,Occitanie,89,4026,8085,751,0.04,0.02,869,320203,5.56,2.85,16.9024,8.664
153,76,Occitanie,90,4026,8085,147,0.01,0.0,869,98249,3.54,1.77,10.7616,5.3808
154,84,Auvergne-Rhône-Alpes,0,7306,13110,20507,0.64,0.36,1598,8090442,6.31,3.57,19.182399999999998,10.8528
155,84,Auvergne-Rhône-Alpes,9,7306,13110,51,0.0,0.0,1598,935839,0.17,0.09,0.5168,0.2736
156,84,Auvergne-Rhône-Alpes,19,7306,13110,46,0.0,0.0,1598,1018289,0.08,0.08,0.2432,0.2432
157,84,Auvergne-Rhône-Alpes,29,7306,13110,179,0.01,0.0,1598,902190,0.53,0.27,1.6112000000000002,0.8208000000000001
158,84,Auvergne-Rhône-Alpes,39,7306,13110,517,0.02,0.01,1598,1009027,1.27,0.71,3.8608000000000002,2.1584
159,84,Auvergne-Rhône-Alpes,49,7306,13110,1578,0.05,0.03,1598,1039289,3.77,2.15,11.4608,6.536
160,84,Auvergne-Rhône-Alpes,59,7306,13110,3842,0.12,0.07,1598,1050457,9.13,5.17,27.755200000000002,15.7168
161,84,Auvergne-Rhône-Alpes,69,7306,13110,6769,0.21,0.12,1598,923640,18.25,10.29,55.480000000000004,31.281599999999997
162,84,Auvergne-Rhône-Alpes,79,7306,13110,6361,0.2,0.11,1598,715981,22.1,12.5,67.18400000000001,38.0
163,84,Auvergne-Rhône-Alpes,89,7306,13110,882,0.03,0.02,1598,383435,5.63,3.33,17.1152,10.1232
164,84,Auvergne-Rhône-Alpes,90,7306,13110,75,0.0,0.0,1598,112295,1.42,0.71,4.3168,2.1584
165,93,Provence-Alpes-Côte d'Azur,0,4942,11778,16788,0.7,0.3,1083,5088998,7.47,3.17,22.7088,9.6368
166,93,Provence-Alpes-Côte d'Azur,9,4942,11778,4,0.0,0.0,1083,550610,0.0,0.0,0.0,0.0
167,93,Provence-Alpes-Côte d'Azur,19,4942,11778,65,0.0,0.0,1083,583319,0.28,0.09,0.8512000000000001,0.2736
168,93,Provence-Alpes-Côte d'Azur,29,4942,11778,132,0.01,0.0,1083,509396,0.64,0.21,1.9456,0.6384
169,93,Provence-Alpes-Côte d'Azur,39,4942,11778,477,0.02,0.01,1083,599896,1.81,0.72,5.502400000000001,2.1888
170,93,Provence-Alpes-Côte d'Azur,49,4942,11778,1188,0.05,0.02,1083,630708,4.29,1.8,13.0416,5.472
171,93,Provence-Alpes-Côte d'Azur,59,4942,11778,3188,0.13,0.06,1083,682640,10.55,4.52,32.072,13.740799999999998
172,93,Provence-Alpes-Côte d'Azur,69,4942,11778,5677,0.24,0.1,1083,633044,20.27,8.64,61.6208,26.265600000000003
173,93,Provence-Alpes-Côte d'Azur,79,4942,11778,5118,0.21,0.09,1083,529487,21.89,9.31,66.54560000000001,28.302400000000002
174,93,Provence-Alpes-Côte d'Azur,89,4942,11778,839,0.04,0.02,1083,287621,6.59,2.82,20.0336,8.572799999999999
175,93,Provence-Alpes-Côte d'Azur,90,4942,11778,46,0.0,0.0,1083,82277,1.32,0.66,4.0128,2.0064
176,94,Corse,0,102,327,443,0.74,0.26,30,349269,3.17,1.13,9.6368,3.4351999999999996
