jour;libelle;reg;incid_rea
2020-04-09;Provence-Alpes-Côte d'Azur;93;17
2020-04-10;Auvergne-Rhône-Alpes;84;30
2020-04-10;Bourgogne-Franche-Comté;27;20
2020-04-10;Bretagne;53;5
2020-04-10;Centre-Val de Loire;24;12
2020-04-10;Corse;94;0
2020-04-10;Grand-Est;44;31
2020-04-10;Guadeloupe;1;3
2020-04-10;Guyane;3;0
2020-04-10;Hauts-de-France;32;36
2020-04-10;Ile-de-France;11;197
2020-04-10;La Réunion;4;0
2020-04-10;Martinique;2;0
2020-04-10;Mayotte;6;0
2020-04-10;Normandie;28;10
2020-04-10;Nouvelle-Aquitaine;75;13
2020-04-10;Occitanie;76;23
2020-04-10;Pays de la Loire;52;10
2020-04-10;Provence-Alpes-Côte d'Azur;93;41
2020-04-11;Auvergne-Rhône-Alpes;84;29
2020-04-11;Bourgogne-Franche-Comté;27;3
2020-04-11;Bretagne;53;7
2020-04-11;Centre-Val de Loire;24;9
2020-04-11;Corse;94;0
2020-04-11;Grand-Est;44;28
2020-04-11;Guadeloupe;1;0
2020-04-11;Guyane;3;0
2020-04-11;Hauts-de-France;32;20
2020-04-11;Ile-de-France;11;117
2020-04-11;La Réunion;4;0
2020-04-11;Martinique;2;0
2020-04-11;Mayotte;6;0
2020-04-11;Normandie;28;7
2020-04-11;Nouvelle-Aquitaine;75;5
2020-04-11;Occitanie;76;10
2020-04-11;Pays de la Loire;52;5
2020-04-11;Provence-Alpes-Côte d'Azur;93;15
2020-04-12;Auvergne-Rhône-Alpes;84;18
2020-04-12;Bourgogne-Franche-Comté;27;9
2020-04-12;Bretagne;53;3
2020-04-12;Centre-Val de Loire;24;1
2020-04-12;Corse;94;1
2020-04-12;Grand-Est;44;24
2020-04-12;Guadeloupe;1;0
2020-04-12;Guyane;3;0
2020-04-12;Hauts-de-France;32;9
2020-04-12;Ile-de-France;11;125
2020-04-12;La Réunion;4;0
2020-04-12;Martinique;2;0
2020-04-12;Mayotte;6;0
2020-04-12;Normandie;28;2
2020-04-12;Nouvelle-Aquitaine;75;4
2020-04-12;Occitanie;76;3
2020-04-12;Pays de la Loire;52;7
2020-04-12;Provence-Alpes-Côte d'Azur;93;14
2020-04-13;Auvergne-Rhône-Alpes;84;17
2020-04-13;Bourgogne-Franche-Comté;27;13
2020-04-13;Bretagne;53;4
2020-04-13;Centre-Val de Loire;24;8
2020-04-13;Corse;94;1
2020-04-13;Grand-Est;44;24
2020-04-13;Guadeloupe;1;0
2020-04-13;Guyane;3;0
2020-04-13;Hauts-de-France;32;14
2020-04-13;Ile-de-France;11;102
2020-04-13;La Réunion;4;0
2020-04-13;Martinique;2;1
2020-04-13;Mayotte;6;0
2020-04-13;Normandie;28;7
2020-04-13;Nouvelle-Aquitaine;75;10
2020-04-13;Occitanie;76;9
2020-04-13;Pays de la Loire;52;2
2020-04-13;Provence-Alpes-Côte d'Azur;93;15
2020-04-14;Auvergne-Rhône-Alpes;84;23
2020-04-14;Bourgogne-Franche-Comté;27;5
2020-04-14;Bretagne;53;4
2020-04-14;Centre-Val de Loire;24;8
2020-04-14;Corse;94;1
2020-04-14;Grand-Est;44;36
2020-04-14;Guadeloupe;1;0
2020-04-14;Guyane;3;0
2020-04-14;Hauts-de-France;32;20
2020-04-14;Ile-de-France;11;135
2020-04-14;La Réunion;4;0
2020-04-14;Martinique;2;0
2020-04-14;Mayotte;6;0
2020-04-14;Normandie;28;4
2020-04-14;Nouvelle-Aquitaine;75;5
2020-04-14;Occitanie;76;11
2020-04-14;Pays de la Loire;52;4
2020-04-14;Provence-Alpes-Côte d'Azur;93;19
2020-04-15;Auvergne-Rhône-Alpes;84;33
2020-04-15;Bourgogne-Franche-Comté;27;10
2020-04-15;Bretagne;53;1
2020-04-15;Centre-Val de Loire;24;8
2020-04-15;Corse;94;1
2020-04-15;Grand-Est;44;27
2020-04-15;Guadeloupe;1;1
2020-04-15;Guyane;3;0
2020-04-15;Hauts-de-France;32;30
2020-04-15;Ile-de-France;11;125
2020-04-15;La Réunion;4;0
2020-04-15;Martinique;2;0
2020-04-15;Mayotte;6;1
2020-04-15;Normandie;28;4
2020-04-15;Nouvelle-Aquitaine;75;5
2020-04-15;Occitanie;76;14
2020-04-15;Pays de la Loire;52;6
2020-04-15;Provence-Alpes-Côte d'Azur;93;18
2020-04-16;Auvergne-Rhône-Alpes;84;27
2020-04-16;Bourgogne-Franche-Comté;27;16
2020-04-16;Bretagne;53;2
2020-04-16;Centre-Val de Loire;24;2
2020-04-16;Corse;94;1
2020-04-16;Grand-Est;44;31
2020-04-16;Guadeloupe;1;0
2020-04-16;Guyane;3;1
2020-04-16;Hauts-de-France;32;19
2020-04-16;Ile-de-France;11;126
2020-04-16;La Réunion;4;1
2020-04-16;Martinique;2;1
2020-04-16;Mayotte;6;2
2020-04-16;Normandie;28;8
2020-04-16;Nouvelle-Aquitaine;75;2
2020-04-16;Occitanie;76;8
2020-04-16;Pays de la Loire;52;1
2020-04-16;Provence-Alpes-Côte d'Azur;93;22
2020-04-17;Auvergne-Rhône-Alpes;84;16
2020-04-17;Bourgogne-Franche-Comté;27;5
2020-04-17;Bretagne;53;3
2020-04-17;Centre-Val de Loire;24;15
2020-04-17;Corse;94;1
2020-04-17;Grand-Est;44;35
2020-04-17;Guadeloupe;1;2
2020-04-17;Guyane;3;1
2020-04-17;Hauts-de-France;32;22
2020-04-17;Ile-de-France;11;95
2020-04-17;La Réunion;4;0
2020-04-17;Martinique;2;0
2020-04-17;Mayotte;6;0
2020-04-17;Normandie;28;8
2020-04-17;Nouvelle-Aquitaine;75;6
2020-04-17;Occitanie;76;11
2020-04-17;Pays de la Loire;52;1
2020-04-17;Provence-Alpes-Côte d'Azur;93;21
2020-04-18;Auvergne-Rhône-Alpes;84;20
2020-04-18;Bourgogne-Franche-Comté;27;12
2020-04-18;Bretagne;53;5
2020-04-18;Centre-Val de Loire;24;5
2020-04-18;Corse;94;0
2020-04-18;Grand-Est;44;29
2020-04-18;Guadeloupe;1;0
2020-04-18;Guyane;3;0
2020-04-18;Hauts-de-France;32;12
2020-04-18;Ile-de-France;11;94
2020-04-18;La Réunion;4;0
2020-04-18;Martinique;2;0
2020-04-18;Mayotte;6;0
2020-04-18;Normandie;28;3
2020-04-18;Nouvelle-Aquitaine;75;5
2020-04-18;Occitanie;76;4
2020-04-18;Pays de la Loire;52;4
2020-04-18;Provence-Alpes-Côte d'Azur;93;13
2020-04-19;Auvergne-Rhône-Alpes;84;13
2020-04-19;Bourgogne-Franche-Comté;27;12
2020-04-19;Bretagne;53;1
2020-04-19;Centre-Val de Loire;24;5
2020-04-19;Corse;94;0
2020-04-19;Grand-Est;44;13
2020-04-19;Guadeloupe;1;0
2020-04-19;Guyane;3;0
2020-04-19;Hauts-de-France;32;16
2020-04-19;Ile-de-France;11;43
2020-04-19;La Réunion;4;0
2020-04-19;Martinique;2;0
2020-04-19;Mayotte;6;0
2020-04-19;Normandie;28;9
2020-04-19;Nouvelle-Aquitaine;75;5
2020-04-19;Occitanie;76;10
2020-04-19;Pays de la Loire;52;1
2020-04-19;Provence-Alpes-Côte d'Azur;93;9
2020-04-20;Auvergne-Rhône-Alpes;84;21
2020-04-20;Bourgogne-Franche-Comté;27;6
2020-04-20;Bretagne;53;1
2020-04-20;Centre-Val de Loire;24;5
2020-04-20;Corse;94;2
2020-04-20;Grand-Est;44;22
2020-04-20;Guadeloupe;1;0
2020-04-20;Guyane;3;0
2020-04-20;Hauts-de-France;32;17
2020-04-20;Ile-de-France;11;73
2020-04-20;La Réunion;4;0
2020-04-20;Martinique;2;0
2020-04-20;Mayotte;6;0
2020-04-20;Normandie;28;5
2020-04-20;Nouvelle-Aquitaine;75;4
2020-04-20;Occitanie;76;16
2020-04-20;Pays de la Loire;52;4
2020-04-20;Provence-Alpes-Côte d'Azur;93;32
2020-04-21;Auvergne-Rhône-Alpes;84;29
2020-04-21;Bourgogne-Franche-Comté;27;13
2020-04-21;Bretagne;53;3
2020-04-21;Centre-Val de Loire;24;3
2020-04-21;Corse;94;0
2020-04-21;Grand-Est;44;21
2020-04-21;Guadeloupe;1;1
2020-04-21;Guyane;3;0
2020-04-21;Hauts-de-France;32;17
2020-04-21;Ile-de-France;11;83
2020-04-21;La Réunion;4;0
2020-04-21;Martinique;2;0
2020-04-21;Mayotte;6;0
2020-04-21;Normandie;28;3
2020-04-21;Nouvelle-Aquitaine;75;0
2020-04-21;Occitanie;76;5
2020-04-21;Pays de la Loire;52;1
2020-04-21;Provence-Alpes-Côte d'Azur;93;11
2020-04-22;Auvergne-Rhône-Alpes;84;12
2020-04-22;Bourgogne-Franche-Comté;27;17
2020-04-22;Bretagne;53;4
2020-04-22;Centre-Val de Loire;24;5
2020-04-22;Corse;94;0
2020-04-22;Grand-Est;44;29
2020-04-22;Guadeloupe;1;0
2020-04-22;Guyane;3;0
2020-04-22;Hauts-de-France;32;16
2020-04-22;Ile-de-France;11;68
2020-04-22;La Réunion;4;0
2020-04-22;Martinique;2;0
2020-04-22;Mayotte;6;0
2020-04-22;Normandie;28;3
2020-04-22;Nouvelle-Aquitaine;75;3
2020-04-22;Occitanie;76;5
2020-04-22;Pays de la Loire;52;1
2020-04-22;Provence-Alpes-Côte d'Azur;93;20
2020-04-23;Auvergne-Rhône-Alpes;84;9
2020-04-23;Bourgogne-Franche-Comté;27;6
2020-04-23;Bretagne;53;0
2020-04-23;Centre-Val de Loire;24;5
2020-04-23;Corse;94;0
2020-04-23;Grand-Est;44;27
2020-04-23;Guadeloupe;1;1
2020-04-23;Guyane;3;0
2020-04-23;Hauts-de-France;32;19
2020-04-23;Ile-de-France;11;70
2020-04-23;La Réunion;4;0
2020-04-23;Martinique;2;0
2020-04-23;Mayotte;6;0
2020-04-23;Normandie;28;8
2020-04-23;Nouvelle-Aquitaine;75;5
2020-04-23;Occitanie;76;6
2020-04-23;Pays de la Loire;52;2
2020-04-23;Provence-Alpes-Côte d'Azur;93;20
2020-04-24;Auvergne-Rhône-Alpes;84;14
2020-04-24;Bourgogne-Franche-Comté;27;4
2020-04-24;Bretagne;53;1
2020-04-24;Centre-Val de Loire;24;7
2020-04-24;Corse;94;0
2020-04-24;Grand-Est;44;16
2020-04-24;Guadeloupe;1;0
2020-04-24;Guyane;3;0
2020-04-24;Hauts-de-France;32;12
2020-04-24;Ile-de-France;11;62
2020-04-24;La Réunion;4;0
2020-04-24;Martinique;2;0
2020-04-24;Mayotte;6;0
2020-04-24;Normandie;28;4
2020-04-24;Nouvelle-Aquitaine;75;3
2020-04-24;Occitanie;76;6
2020-04-24;Pays de la Loire;52;0
2020-04-24;Provence-Alpes-Côte d'Azur;93;26
2020-04-25;Auvergne-Rhône-Alpes;84;11
2020-04-25;Bourgogne-Franche-Comté;27;7
2020-04-25;Bretagne;53;1
2020-04-25;Centre-Val de Loire;24;9
2020-04-25;Corse;94;0
2020-04-25;Grand-Est;44;16
2020-04-25;Guadeloupe;1;0
2020-04-25;Guyane;3;0
2020-04-25;Hauts-de-France;32;4
2020-04-25;Ile-de-France;11;64
2020-04-25;La Réunion;4;0
2020-04-25;Martinique;2;0
2020-04-25;Mayotte;6;0
2020-04-25;Normandie;28;1
2020-04-25;Nouvelle-Aquitaine;75;0
2020-04-25;Occitanie;76;0
2020-04-25;Pays de la Loire;52;2
2020-04-25;Provence-Alpes-Côte d'Azur;93;9
2020-04-26;Auvergne-Rhône-Alpes;84;2
2020-04-26;Bourgogne-Franche-Comté;27;4
2020-04-26;Bretagne;53;1
2020-04-26;Centre-Val de Loire;24;1
2020-04-26;Corse;94;0
2020-04-26;Grand-Est;44;13
2020-04-26;Guadeloupe;1;1
2020-04-26;Guyane;3;0
2020-04-26;Hauts-de-France;32;8
2020-04-26;Ile-de-France;11;28
2020-04-26;La Réunion;4;0
2020-04-26;Martinique;2;0
2020-04-26;Mayotte;6;2
2020-04-26;Normandie;28;4
2020-04-26;Nouvelle-Aquitaine;75;3
2020-04-26;Occitanie;76;0
2020-04-26;Pays de la Loire;52;1
2020-04-26;Provence-Alpes-Côte d'Azur;93;11
2020-04-27;Auvergne-Rhône-Alpes;84;8
